,name,max_value,min_value,mean_value,nrows,ncols
0,GSM86787.cel,46093.0,67.5,537.88,712.0,712.0
1,GSM86788.cel,46093.0,67.5,537.88,712.0,712.0
2,GSM86789.cel,46093.0,67.5,537.88,712.0,712.0
3,GSM86790.cel,46093.0,67.5,537.88,712.0,712.0
4,GSM86791.cel,46093.0,67.5,537.88,712.0,712.0
5,GSM86792.cel,46093.0,67.5,537.88,712.0,712.0
6,GSM86793.cel,46093.0,67.5,537.88,712.0,712.0
7,GSM86794.cel,46093.0,67.5,537.88,712.0,712.0
8,GSM86795.cel,46093.0,67.5,537.88,712.0,712.0
9,GSM86796.cel,46093.0,67.5,537.88,712.0,712.0
10,GSM86797.cel,46093.0,67.5,537.88,712.0,712.0
11,GSM86798.cel,46093.0,67.5,537.88,712.0,712.0
12,GSM86799.cel,46093.0,67.5,537.88,712.0,712.0
13,GSM86800.cel,46093.0,67.5,537.88,712.0,712.0
14,GSM86801.cel,46093.0,67.5,537.88,712.0,712.0
15,GSM86802.cel,46093.0,67.5,537.88,712.0,712.0
16,GSM86803.cel,46093.0,67.5,537.88,712.0,712.0
17,GSM86804.cel,46093.0,67.5,537.88,712.0,712.0
18,GSM86805.cel,46093.0,67.5,537.88,712.0,712.0
19,GSM86806.cel,46093.0,67.5,537.88,712.0,712.0
20,GSM86807.cel,46093.0,67.5,537.88,712.0,712.0
21,GSM86808.cel,46093.0,67.5,537.88,712.0,712.0
22,GSM86809.cel,46093.0,67.5,537.88,712.0,712.0
23,GSM86810.cel,46093.0,67.5,537.88,712.0,712.0
24,GSM86811.cel,46093.0,67.5,537.88,712.0,712.0
25,GSM86812.cel,46093.0,67.5,537.88,712.0,712.0
26,GSM86813.cel,46093.0,67.5,537.88,712.0,712.0
27,GSM86814.cel,46093.0,67.5,537.88,712.0,712.0
28,GSM86815.cel,46093.0,67.5,537.88,712.0,712.0
29,GSM86816.cel,46093.0,67.5,537.88,712.0,712.0
30,GSM86817.cel,46093.0,67.5,537.88,712.0,712.0
31,GSM86818.cel,46093.0,67.5,537.88,712.0,712.0
32,GSM86819.cel,46093.0,67.5,537.88,712.0,712.0
33,GSM86820.cel,46093.0,67.5,537.88,712.0,712.0
34,GSM86821.cel,46093.0,67.5,537.88,712.0,712.0
35,GSM86822.cel,46093.0,67.5,537.88,712.0,712.0
36,GSM86823.cel,46093.0,67.5,537.88,712.0,712.0
37,GSM86824.cel,46093.0,67.5,537.88,712.0,712.0
38,GSM86825.cel,46093.0,67.5,537.88,712.0,712.0
39,GSM86826.cel,46093.0,67.5,537.88,712.0,712.0
40,GSM86827.cel,46093.0,67.5,537.88,712.0,712.0
41,GSM86828.cel,46093.0,67.5,537.88,712.0,712.0
42,GSM86829.cel,46093.0,67.5,537.88,712.0,712.0
43,GSM86830.cel,46093.0,67.5,537.88,712.0,712.0
44,GSM86831.cel,46093.0,67.5,537.88,712.0,712.0
45,GSM86832.cel,46093.0,67.5,537.88,712.0,712.0
46,GSM86833.cel,46093.0,67.5,537.88,712.0,712.0
47,GSM86834.cel,46093.0,67.5,537.88,712.0,712.0
48,GSM86835.cel,46093.0,67.5,537.88,712.0,712.0
49,GSM86836.cel,46093.0,67.5,537.88,712.0,712.0
50,GSM86837.cel,46093.0,67.5,537.88,712.0,712.0
51,GSM86838.cel,46093.0,67.5,537.88,712.0,712.0
52,GSM86839.cel,46093.0,67.5,537.88,712.0,712.0
53,GSM86840.cel,46093.0,67.5,537.88,712.0,712.0
54,GSM86841.cel,46093.0,67.5,537.88,712.0,712.0
55,GSM86842.cel,46093.0,67.5,537.88,712.0,712.0
56,GSM86843.cel,46093.0,67.5,537.88,712.0,712.0
57,GSM86844.cel,46093.0,67.5,537.88,712.0,712.0
58,GSM86845.cel,46093.0,67.5,537.88,712.0,712.0
59,GSM86846.cel,46093.0,67.5,537.88,712.0,712.0
60,GSM86847.cel,46093.0,67.5,537.88,712.0,712.0
61,GSM86848.cel,46093.0,67.5,537.88,712.0,712.0
62,GSM86849.cel,46093.0,67.5,537.88,712.0,712.0
63,GSM86850.cel,46093.0,67.5,537.88,712.0,712.0
64,GSM86851.cel,46093.0,67.5,537.88,712.0,712.0
65,GSM86852.cel,46093.0,67.5,537.88,712.0,712.0
66,GSM86853.cel,46093.0,67.5,537.88,712.0,712.0
67,GSM86854.cel,46093.0,67.5,537.88,712.0,712.0
68,GSM86855.cel,46093.0,67.5,537.88,712.0,712.0
69,GSM86856.cel,46093.0,67.5,537.88,712.0,712.0
70,GSM86857.cel,46093.0,67.5,537.88,712.0,712.0
71,GSM86858.cel,46093.0,67.5,537.88,712.0,712.0
72,GSM86859.cel,46093.0,67.5,537.88,712.0,712.0
73,GSM86860.cel,46093.0,67.5,537.88,712.0,712.0
74,GSM86861.cel,46093.0,67.5,537.88,712.0,712.0
75,GSM86862.cel,46093.0,67.5,537.88,712.0,712.0
76,GSM86863.cel,46093.0,67.5,537.88,712.0,712.0
77,GSM86864.cel,46093.0,67.5,537.88,712.0,712.0
78,GSM86865.cel,46093.0,67.5,537.88,712.0,712.0
79,GSM86866.cel,46093.0,67.5,537.88,712.0,712.0
80,GSM86867.cel,46093.0,67.5,537.88,712.0,712.0
81,GSM86868.CEL,46093.0,67.5,537.88,712.0,712.0
82,GSM86869.cel,46093.0,67.5,537.88,712.0,712.0
83,GSM86870.cel,46093.0,67.5,537.88,712.0,712.0
84,GSM86871.cel,46093.0,67.5,537.88,712.0,712.0
85,GSM86872.cel,46093.0,67.5,537.88,712.0,712.0
86,GSM86873.cel,46093.0,67.5,537.88,712.0,712.0
87,GSM86874.CEL,46093.0,67.5,537.88,712.0,712.0
88,GSM86875.cel,46093.0,67.5,537.88,712.0,712.0
89,GSM86876.cel,46093.0,67.5,537.88,712.0,712.0
