Best Fitness,Min Variables
-0.5381445064921717,268
-0.5721530371030181,246
-0.5892810647846791,235
-0.6234651752372469,214
-0.6289509746822433,210
-0.6481311452944603,198
-0.6620413511939429,187
-0.6840162389941418,174
-0.6928637500428243,168
-0.7001541676659016,163
-0.7083627393881258,159
-0.717705299941759,153
-0.7161482065161533,154
-0.7191904484566104,153
-0.7191904484566104,153
-0.7278623796635719,146
-0.7292438932474563,144
-0.7348333276234198,142
-0.7394326629894824,140
-0.7407422316626127,139
-0.7418762204940217,137
-0.7432894240981192,138
-0.7489508033848367,135
-0.7473620199390181,133
-0.7518894103943268,132
-0.7496616876220494,132
-0.7514663058001301,131
-0.7554986467504883,130
-0.7516418856418514,132
-0.757447154750077,127
-0.7578702593442734,128
-0.7608088663537633,125
-0.7636035835417452,124
-0.7703989516598719,119
-0.7753177566891638,116
-0.7784319435403748,114
-0.7797415122135052,113
-0.7794939874610298,113
-0.7839177429853712,110
-0.7839177429853712,110
-0.7847322621535511,109
-0.7879500839357292,109
-0.7908167460344651,107
-0.7908167460344651,107
-0.7923738394600706,106
-0.7908167460344651,107
-0.7928688889650211,106
-0.7942504025489054,104
-0.7961269656377403,102
-0.7961269656377403,102
-0.7961269656377403,102
-0.7970451197368873,103
-0.8014688752612286,100
-0.8006543560930488,101
-0.8025309191818837,99
-0.8006543560930488,101
-0.8027784439343588,99
-0.8057170509438487,96
-0.8057170509438487,96
-0.8044074822707183,97
-0.8059645756963241,96
-0.8075936140326836,94
-0.8083361882901092,94
-0.8083361882901092,94
-0.8137500428243516,91
-0.8126879989036966,92
-0.8126879989036966,92
-0.8112028503888451,92
-0.8162972352598583,90
-0.8194833670218233,87
-0.8194833670218233,87
-0.8225975538730343,85
-0.8184932680119223,87
-0.8205454109424783,86
-0.8205454109424783,86
-0.8197308917742985,87
-0.8242985371201481,82
-0.8260312103874747,82
-0.8255361608825242,82
-0.8255361608825242,82
-0.8255361608825242,82
-0.8255361608825242,82
-0.8255361608825242,82
-0.8299599164068656,79
-0.8270213093973757,82
-0.8270213093973757,82
-0.8270213093973757,82
-0.8288978724862106,80
-0.8288978724862106,80
-0.8288978724862106,80
-0.8316925896741925,79
-0.8332496830997977,78
-0.8332496830997977,78
-0.8332496830997977,78
-0.8332496830997977,78
-0.8332496830997977,78
-0.8332496830997977,78
-0.8332496830997977,78
-0.8355493507828293,77
-0.8391268971187775,72
