Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
CX_07,FS_CGA,0,Fitness,-0.5512718832436878
CX_07,FS_CGA,1,Fitness,-0.5560151084312583
CX_07,FS_CGA,0,Time,139.01691818237305
CX_07,FS_CGA,1,Time,140.19112277030945
CX_07,FS_CGA,0,Vars,261.0
CX_07,FS_CGA,1,Vars,257.0
CX_08,FS_CGA,0,Fitness,-0.5560151084312583
CX_08,FS_CGA,1,Fitness,-0.5386395559971222
CX_08,FS_CGA,0,Time,138.6313660144806
CX_08,FS_CGA,1,Time,138.95348691940308
CX_08,FS_CGA,0,Vars,257.0
CX_08,FS_CGA,1,Vars,268.0
CX_09,FS_CGA,0,Fitness,-0.5509207235602454
CX_09,FS_CGA,1,Fitness,-0.5459299736201995
CX_09,FS_CGA,0,Time,137.72520065307617
CX_09,FS_CGA,1,Time,137.8063142299652
CX_09,FS_CGA,0,Vars,259.0
CX_09,FS_CGA,1,Vars,263.0
