Best Fitness,Min Variables
-0.5647455896534119,259
-0.569334619093539,255
-0.5771200862215667,247
-0.5825287877928412,245
-0.5958052073288331,238
-0.6041635940779397,230
-0.608344205570367,229
-0.6108032219638097,229
-0.6207187021385218,222
-0.6207187021385218,220
-0.6207187021385218,220
-0.6287509217766181,219
-0.634650292132282,212
-0.634650292132282,212
-0.6417805888025412,209
-0.6442396051959839,207
-0.648091213341653,201
-0.6496483067672585,201
-0.6650547393499348,193
-0.6650547393499348,193
-0.6680866753644563,190
-0.6698905213001305,190
-0.6698905213001305,190
-0.6768563162970107,187
-0.677511486754779,185
-0.6780021555391684,181
-0.6835753587838221,179
-0.6908701571274605,175
-0.6910346588008396,175
-0.7011146406489307,170
-0.7011146406489307,167
-0.7057036700890578,166
-0.7092262748879686,162
-0.712096545464859,162
-0.7142265585115435,162
-0.715783651937149,160
-0.7164388223949174,160
-0.7220120256395712,158
-0.7242242895229452,155
-0.7242242895229452,153
-0.7297152419309092,151
-0.7359436156333314,148
-0.7399597254523795,147
-0.7407793975835272,146
-0.7408616484202167,145
-0.7443020023824382,140
-0.7446310057291963,140
-0.7474984400703386,138
-0.7533183958250611,138
-0.7533183958250611,136
-0.7533183958250611,136
-0.7568410006239719,132
-0.7568410006239719,132
-0.760119689148562,132
-0.760119689148562,129
-0.763806795620852,128
-0.763806795620852,128
-0.763806795620852,127
-0.7677406546032106,126
-0.7732316070111748,123
-0.7732316070111748,123
-0.7748709512734698,121
-0.779624482386976,120
-0.7802796528447445,119
-0.7816722445969709,116
-0.7816722445969709,116
-0.7871631970049351,113
-0.7896222133983777,111
-0.7921634806285098,109
-0.7924073969028305,107
-0.7924073969028305,107
-0.8006041182143059,107
-0.8006041182143059,107
-0.8006041182143059,106
-0.8006041182143059,106
-0.8006041182143059,106
-0.8006041182143059,106
-0.8006041182143059,106
-0.8013415395087639,104
-0.8013415395087639,103
-0.8013415395087639,103
-0.8060128197855806,99
-0.8060128197855806,99
-0.8082250836689546,97
-0.8091270066367916,97
-0.8091270066367916,97
-0.8114215213568552,96
-0.8114215213568552,96
-0.8114215213568552,96
-0.8131431164558398,96
-0.8131431164558398,95
-0.8176498950592773,95
-0.8213370015315674,90
-0.8213370015315674,90
-0.8213370015315674,89
-0.82379601792501,89
-0.8260905326450735,88
-0.8260905326450735,85
-0.8260905326450735,85
-0.8332208293153326,85
