Best Fitness,Min Variables
-0.5462494432834286,262
-0.5596962896981739,254
-0.5596962896981739,254
-0.5727200315187229,245
-0.5758342183699339,243
-0.5874764466065983,236
-0.5896724793586625,233
-0.590095583952859,233
-0.6027998561101786,226
-0.6072236116345198,223
-0.6132764054952209,218
-0.6199278837918394,215
-0.6277852958306211,209
-0.63574634280037,205
-0.6383654801466307,203
-0.6495846037890987,195
-0.6542558840659152,192
-0.6542558840659152,192
-0.6589271643427319,189
-0.6626083456096474,186
-0.6729410051731817,180
-0.6729410051731817,180
-0.677364760697523,177
-0.6840881839048956,173
-0.6840881839048956,173
-0.6882644146767618,170
-0.6890789338449417,169
-0.6920492308746446,169
-0.6984214943985749,163
-0.7038353489328171,160
-0.7038353489328171,160
-0.7051449176059474,159
-0.7139924286546302,153
-0.7209633766144781,149
-0.7222729452876084,148
-0.7222729452876084,148
-0.7222729452876084,148
-0.7222729452876084,148
-0.730058412415636,143
-0.7326775497618967,141
-0.7326775497618967,141
-0.7371013052862381,138
-0.7375963547911886,138
-0.7375963547911886,138
-0.7433296789886601,134
-0.7433296789886601,134
-0.7433296789886601,134
-0.7562814758984548,126
-0.7562814758984548,126
-0.7578385693240604,125
-0.7578385693240604,125
-0.7578385693240604,125
-0.7578385693240604,124
-0.7598907122546166,122
-0.7612002809277467,122
-0.7638194182740075,121
-0.7638194182740075,121
-0.7661190859570386,120
-0.7661190859570386,120
-0.7683468087293159,118
-0.7779368940354243,114
-0.7779368940354243,114
-0.7779368940354243,114
-0.7779368940354243,114
-0.7811230257973896,111
-0.7879183939155161,106
-0.7879183939155161,106
-0.7879183939155161,106
-0.793827297954709,103
-0.7970134297166742,100
-0.8000556716571312,99
-0.8000556716571312,99
-0.8000556716571312,99
-0.8000556716571312,99
-0.8021797594984412,97
-0.8021797594984412,97
-0.8040563225872761,95
-0.8052220014388982,95
-0.811945424646271,92
-0.811945424646271,92
-0.811945424646271,92
-0.811945424646271,92
-0.811945424646271,92
-0.811945424646271,92
-0.8123368392202543,90
-0.8165130699921204,87
-0.8177506937544965,87
-0.8177506937544965,87
-0.8177506937544965,87
-0.8177506937544965,87
-0.8182140532392339,84
-0.8256081057932783,81
-0.8256081057932783,81
-0.8256081057932783,81
-0.8288978724862106,79
-0.839550001712974,73
-0.839550001712974,73
-0.839550001712974,73
-0.839550001712974,73
-0.839550001712974,73
