Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
CX_07,FS_CGA,0,Fitness,-0.5548494295796362
CX_07,FS_CGA,1,Fitness,-0.5412586933433828
CX_07,FS_CGA,0,Time,1.0913560390472412
CX_07,FS_CGA,1,Time,0.692209005355835
CX_07,FS_CGA,0,Vars,256.0
CX_07,FS_CGA,1,Vars,266.0
CX_08,FS_CGA,0,Fitness,-0.5418256877590872
CX_08,FS_CGA,1,Fitness,-0.546568912946658
CX_08,FS_CGA,0,Time,1.0832421779632568
CX_08,FS_CGA,1,Time,0.7099788188934326
CX_08,FS_CGA,0,Vars,265.0
CX_08,FS_CGA,1,Vars,261.0
CX_09,FS_CGA,0,Fitness,-0.546640857857412
CX_09,FS_CGA,1,Fitness,-0.5345352701360101
CX_09,FS_CGA,0,Time,0.8470232486724854
CX_09,FS_CGA,1,Time,0.7902581691741943
CX_09,FS_CGA,0,Vars,260.0
CX_09,FS_CGA,1,Vars,270.0
