Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
CX_07,FS_CGA,0,Fitness,-0.5660702661961698
CX_07,FS_CGA,1,Fitness,-0.5619685497961562
CX_07,FS_CGA,0,Time,4.319518804550171
CX_07,FS_CGA,1,Time,3.778116464614868
CX_07,FS_CGA,0,Vars,251.0
CX_07,FS_CGA,1,Vars,255.0
CX_08,FS_CGA,0,Fitness,-0.5738052005892631
CX_08,FS_CGA,1,Fitness,-0.5586094076535681
CX_08,FS_CGA,0,Time,4.388530969619751
CX_08,FS_CGA,1,Time,4.274130821228027
CX_08,FS_CGA,0,Vars,244.0
CX_08,FS_CGA,1,Vars,259.0
CX_09,FS_CGA,0,Fitness,-0.5745477748466888
CX_09,FS_CGA,1,Fitness,-0.5605630545753537
CX_09,FS_CGA,0,Time,3.8171403408050537
CX_09,FS_CGA,1,Time,3.9175021648406982
CX_09,FS_CGA,0,Vars,244.0
CX_09,FS_CGA,1,Vars,258.0
