Best Fitness,Min Variables
-0.5387517557984172,263
-0.545578813936757,259
-0.5518071876391791,257
-0.5639444653807941,250
-0.5767926273596218,240
-0.5767926273596218,239
-0.5799068142108328,238
-0.5877642262496146,232
-0.5927866662098735,231
-0.6016341772585563,225
-0.6029437459316866,224
-0.614514029257597,218
-0.614514029257597,218
-0.6218763917914283,212
-0.6236090650587549,211
-0.6282486553153586,206
-0.6352196032752064,202
-0.6384374250573845,202
-0.6445621638288397,196
-0.6499040734523278,194
-0.6530902052142931,191
-0.6622571859262052,184
-0.6666809414505463,181
-0.6702182328959541,180
-0.6703938127376752,180
-0.6714558566583302,179
-0.6786743293706534,176
-0.6857172222412553,171
-0.6857172222412553,170
-0.6869231559834184,168
-0.6948122580424132,165
-0.6963693514680187,164
-0.6971119257254446,162
-0.7023502004179656,160
-0.7023502004179656,159
-0.7203646921785605,147
-0.7203646921785605,147
-0.720859741683511,147
-0.7236544588714926,146
-0.7320069204152251,140
-0.7320069204152251,140
-0.7320069204152251,140
-0.7320069204152251,140
-0.7348735825139607,138
-0.7385547637808763,135
-0.7468352804138545,130
-0.7468352804138545,130
-0.7468352804138545,130
-0.752496659700572,127
-0.752496659700572,127
-0.7560022611257666,123
-0.761488060570763,119
-0.761488060570763,119
-0.763468258590565,119
-0.763468258590565,119
-0.763468258590565,119
-0.7662629757785466,118
-0.7703672616396589,115
-0.7735533934016239,113
-0.774647127342492,113
-0.774647127342492,113
-0.774647127342492,112
-0.7768431600945562,111
-0.7782246736784404,110
-0.7782246736784404,110
-0.7802768166089966,109
-0.7812669156188976,109
-0.7827203741135358,106
-0.7827520641337491,106
-0.7836385282126828,106
-0.7873197094795985,104
-0.7906094761725309,103
-0.7906094761725309,103
-0.7906094761725309,103
-0.7917434650039399,101
-0.7985705231422797,99
-0.7985705231422797,99
-0.7985705231422797,99
-0.7985705231422797,99
-0.7985705231422797,99
-0.8015408201719827,98
-0.8041599575182432,97
-0.8041599575182432,96
-0.8050464215971771,95
-0.8102846962896981,91
-0.8105322210421735,91
-0.8105322210421735,91
-0.8127599438144506,90
-0.8153790811607111,89
-0.817183699338792,88
-0.817183699338792,88
-0.817183699338792,88
-0.8228450786255095,85
-0.8228450786255095,85
-0.8228450786255095,85
-0.8228450786255095,85
-0.8228450786255095,83
-0.8228450786255095,83
-0.8228450786255095,83
-0.8228450786255095,83
