Best Fitness,Min Variables
-0.5380725615814177,268
-0.5449398746102985,263
-0.5547774846688821,257
-0.571761622529035,248
-0.571761622529035,248
-0.5824137517557983,241
-0.5876520264483196,237
-0.5923233067251361,234
-0.5955094384871014,231
-0.5975615814176574,230
-0.6087807050601255,222
-0.6118229470005825,221
-0.6222994963856248,213
-0.6232176504847717,213
-0.6278889307615882,211
-0.637726540820172,205
-0.6400262085032031,204
-0.6424697660077427,201
-0.651812326561376,195
-0.6551740381650621,193
-0.6555971427592586,193
-0.6584638048579945,192
-0.6608354174517799,190
-0.6609073623625339,189
-0.6645165987186954,187
-0.6723020658467231,182
-0.6725495905991985,182
-0.6727971153516736,182
-0.6832736647367159,174
-0.6906677172907603,171
-0.6920492308746446,169
-0.6937819041419713,169
-0.6977106101613622,166
-0.6990201788344925,165
-0.700505327349344,165
-0.7049290828736852,162
-0.706661756141012,162
-0.706661756141012,162
-0.7108379869128783,159
-0.7179528246942342,153
-0.7179528246942342,153
-0.7214901161396416,152
-0.7214901161396416,151
-0.7215620610503957,151
-0.7251712974065572,149
-0.7274709650895885,148
-0.7277904347528179,146
-0.7381950392271062,140
-0.7381950392271062,140
-0.7432894240981192,138
-0.7432894240981192,138
-0.744031998355545,137
-0.7444234129295282,136
-0.7487752235431155,134
-0.7487752235431155,134
-0.7542610229881119,130
-0.7550035972455378,130
-0.7583653088492239,127
-0.7583653088492239,127
-0.7583653088492239,127
-0.758437253759978,127
-0.7604893966905342,126
-0.7648412073041215,124
-0.7648412073041215,123
-0.7651606769673507,123
-0.7682029189078077,122
-0.7682029189078077,122
-0.769512487580938,121
-0.7730180890061324,117
-0.7827837541539622,112
-0.7827837541539622,112
-0.7827837541539622,112
-0.7840213779163383,112
-0.7844127924903217,110
-0.7844127924903217,110
-0.7844127924903217,110
-0.7872794545890576,108
-0.7890840727671382,107
-0.7890840727671382,107
-0.7906411661927437,106
-0.7926213642125457,106
-0.7984266333207715,101
-0.7996642570831478,101
-0.7996642570831478,101
-0.7996642570831478,101
-0.7996642570831478,101
-0.7999837267463772,100
-0.7999837267463772,100
-0.7999837267463772,100
-0.8074497242111756,96
-0.8074497242111756,96
-0.8074497242111756,96
-0.8074497242111756,96
-0.8087592928843057,95
-0.8145645619925315,90
-0.8145645619925315,90
-0.8145645619925315,90
-0.8145645619925315,90
-0.8145645619925315,90
-0.8145645619925315,90
